file,class,sensor,date_deploy,time_deploy,duration[mm:ss],t_max_p_1s_nadir,t_nadir,nadir,max_p_1s_nadir,rate_pc,ratio_pc,log_RPC,treatment,inj_pos,sens_wc_pos_ent,sens_wc_pos_blade,sens_wc_pos_exit,clear_passage,rotate_hub,pres_force,passage_loc,centre_hub_contact,blade_contact,n_contact,c_1_bl,c_1_sl,c_1_bv,c_1_type,c_2_bl,c_2_sl,c_2_bv,c_2_type,t_start_roi1,t_end_roi1,t_start_roi2,t_end_roi2,t_start_roi3,t_end_roi3,t_start_roi4,t_end_roi4,t_start_roi5,t_end_roi5,t_start_roi6,t_end_roi6,max_accmag_roi1,max_accmag_roi2,max_accmag_roi3,max_accmag_roi4,max_accmag_roi5,max_accmag_roi6,max_accmag_time_roi1,max_accmag_time_roi2,max_accmag_time_roi3,max_accmag_time_roi4,max_accmag_time_roi5,max_accmag_time_roi6,nadir_acceleration,max_hig_roi1,max_hig_roi2,max_hig_roi3,max_hig_roi4,max_hig_roi5,max_hig_roi6,max_hig_time_roi1,max_hig_time_roi2,max_hig_time_roi3,max_hig_time_roi4,max_hig_time_roi5,max_hig_time_roi6,max_nadir_acc_dist,max_nadir_acc_position,acc_rms,accmag_1,accmag_1_t,accmag_1_p,guide_vane_contact,accmag_2,accmag_2_t,accmag_2_p,accmag_3,accmag_3_t,accmag_3_p,accmag_4,accmag_4_t,accmag_4_p,inj_to_pre_nadir_accmag_count,pre_nadir_event_accmag_count,nadir_event_accmag_count,post_nadir_event_accmag_count,post_nadir_to_rec_accmag_count,accmag_5,accmag_5_t,accmag_5_p,accmag_6,accmag_6_t,accmag_6_p,accmag_7,accmag_7_t,accmag_7_p,accmag_8,accmag_8_t,accmag_8_p
B75-0806141032_imp,100_imp,B75,06/08,14:10:32,00:59:00,26.96,26.98,1022,1088.9,66.9000000000001,0.978473581213307,-0.0217614917815127,400 (70%),High,3,3,6,No contact,Hub rotation,No pressure force,Center hub,No CH contact,No blade contact,0,NA,NA,NA,NA,NA,NA,NA,NA,25.54,28.42,26.88,27.08,26.58,26.88,27.08,27.38,25.54,26.58,27.38,28.42,179.063,121.566,2.267,179.063,1.014,174.27,27.13,27.08,26.83,27.13,26.58,28.28,60.72,365.3,30.6,NA,23.5,4.1,365.3,28.084,27.0675,NA,27.122,25.6175,28.084,0.1,After nadir,70.342017959193,179.063,27.13,1380.8,GV contact,168.281,27.4,1257.5,174.27,28.28,1181.5,NA,NA,NA,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806142519_imp,100_imp,B75,06/08,14:25:19,00:59:00,22.51,22.52,914.2,1197.5,283.3,1.09385254867644,0.089705913084493,400 (70%),Low,6,2,6,Contact,NA,NA,NA,No CH contact,Blade contact,1,Absolute tip,6,14,Direct,NA,NA,NA,NA,21.08,23.96,22.42,22.62,22.12,22.42,22.62,22.92,21.08,22.12,22.92,23.96,169.261,157.725,14.178,169.261,1.625,136.604,22.91,22.53,22.27,22.91,22.12,22.93,133.158,586.3,586.3,31.6,421.1,5.2,417.3,22.488,22.488,22.36,22.9035,21.1625,23.0715,0.01,After nadir,66.5217051255417,157.725,22.53,972.6,GV contact,169.261,22.91,1423.5,NA,NA,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806144357_imp,100_imp,B75,06/08,14:43:57,00:59:00,25.32,25.35,1001,1146.9,145.9,0.999000999000999,-9.9950033308349e-4,400 (70%),High,2,4,1,Contact,NA,NA,NA,CH contact,No blade contact,1,Center hub,2,NA,Direct,NA,NA,NA,NA,23.91,26.79,25.25,25.45,24.95,25.25,25.45,25.75,23.91,24.95,25.75,26.79,211.193,211.193,45.439,72.848,0.301,70.012,25.36,25.36,25.25,25.49,24.74,25.75,191.85,570.4,570.4,7.9,95.1,NA,76.7,25.3135,25.3135,25.2335,25.477,NA,25.8795,0.01,After nadir,118.266483245415,211.193,25.36,1080.6,No GV contact,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806160726_imp,100_imp,B75,06/08,16:07:26,00:59:00,24.84,24.85,961.9,1208.1,246.2,1.03960910697578,0.0388447838235672,400 (70%),Low,7,7,1,Contact,NA,NA,NA,No CH contact,Blade contact,1,Near tip,1,13,Indirect,NA,NA,NA,NA,23.41,26.29,24.75,24.95,24.45,24.75,24.95,25.25,23.41,24.45,25.25,26.29,140.746,140.746,9.978,79.425,1.046,96.623,24.86,24.86,24.73,25.25,24.45,25.36,74.461,565.6,492.3,30.1,565.6,NA,13.9,25.1965,24.8295,24.7045,25.1965,NA,25.3425,0.01,After nadir,55.5481636578736,140.746,24.86,985.4,No GV contact,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806162232_imp,100_imp,B75,06/08,16:22:32,01:00:00,17.58,17.7,756.7,1265,508.3,1.32152768600502,0.278788405281661,400 (70%),High,7,7,1,Contact,NA,NA,NA,CH contact,Blade contact,2,Absolute tip,4,14,Direct,Center hub,6,NA,Direct,16.26,19.14,17.6,17.8,17.3,17.6,17.8,18.1,16.26,17.3,18.1,19.14,244.838,244.838,175.987,181.951,1.151,66.267,17.71,17.71,17.6,17.91,17.17,18.48,233.965,527.9,419.7,516.3,227.7,NA,527.9,18.455,17.6425,17.57,18.0265,NA,18.455,0.01,After nadir,128.265543015819,244.838,17.71,964.3,No GV contact,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806164125_imp,100_imp,B75,06/08,16:41:25,01:00:00,21.59,21.61,910.4,1145.4,235,1.09841827768014,0.0938712156100705,400 (70%),Low,3,3,1,No contact,Hub rotation,Pressure force,Center,No CH contact,No blade contact,0,NA,NA,NA,NA,NA,NA,NA,NA,20.17,23.05,21.51,21.71,21.21,21.51,21.71,22.01,20.17,21.21,22.01,23.05,175.406,175.406,6.041,116.945,1.145,146.564,21.6,21.6,21.48,21.84,21.02,22.03,160.43,504.8,261,NA,504.8,NA,400.4,21.7195,21.631,NA,21.7195,NA,22.076,-0.01,Before nadir,88.1735295588032,175.406,21.6,1037.1,GV contact,116.945,21.84,1395.9,146.564,22.03,1433.6,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806171105_imp,100_imp,B75,06/08,17:11:05,00:59:00,20.29,20.33,884.6,1231.3,346.7,1.13045444268596,0.122619713547911,400 (70%),High,3,3,6,Contact,NA,NA,NA,No CH contact,Blade contact,1,Near hub,4,10,Direct,NA,NA,NA,NA,18.89,21.77,20.23,20.43,19.93,20.23,20.43,20.73,18.89,19.93,20.73,21.77,233.958,233.958,49.359,149.823,1.123,23.096,20.33,20.33,20.23,20.43,19.9,21.08,233.958,444.9,444.9,10.3,29,NA,37.4,20.333,20.333,20.2255,20.5025,NA,21.602,0,On nadir,123.950049890307,233.958,20.33,884.6,No GV contact,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806173815_imp,100_imp,B75,06/08,17:38:15,00:59:00,27.99,28.02,1008.4,1122.4,114,0.991669972233241,-0.00836491633162766,400 (70%),Low,6,6,5,No contact,No hub rotation,Pressure force,Near tip,No CH contact,No blade contact,0,NA,NA,NA,NA,NA,NA,NA,NA,26.58,29.46,27.92,28.12,27.62,27.92,28.12,28.42,26.58,27.62,28.42,29.46,164.29,164.29,10.002,80.558,1.368,137.941,28.09,28.09,27.92,28.14,27.58,28.47,140.858,481.2,76.7,NA,481.2,NA,468.6,28.121,27.992,NA,28.121,NA,28.432,0.07,After nadir,82.7477924476078,164.29,28.09,1339.2,No GV contact,137.941,28.47,1321.5,NA,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806180444_imp,100_imp,B75,06/08,18:04:44,00:59:00,20,20.02,911,1131.7,220.7,1.09769484083425,0.0932123817221788,400 (70%),High,2,3,1,No contact,No hub rotation,Pressure force,Center,No CH contact,No blade contact,0,NA,NA,NA,NA,NA,NA,NA,NA,18.58,21.46,19.92,20.12,19.62,19.92,20.12,20.42,18.58,19.62,20.42,21.46,169.965,169.965,5.508,68.176,1.058,49.978,20.02,20.02,19.9,20.27,19.62,20.42,169.965,74.5,30.4,NA,42.6,NA,74.5,20.5465,19.999,NA,20.179,NA,20.5465,0,On nadir,67.8410376429797,169.965,20.02,911,No GV contact,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806181311_imp,100_imp,B75,06/08,18:13:11,01:00:00,16.43,16.47,913.1,1226.5,313.4,1.09517029898149,0.0909098753598426,400 (70%),Low,4,5,1,Contact,NA,NA,NA,No CH contact,Blade contact,1,Near tip,2,13,Direct,NA,NA,NA,NA,15.03,17.91,16.37,16.57,16.07,16.37,16.57,16.87,15.03,16.07,16.87,17.91,215.283,215.283,22.555,153.231,1.32,29.855,16.49,16.49,16.37,16.58,16.07,16.9,163.36,513.2,513.2,6.1,10.6,NA,194.9,16.416,16.416,16.3695,16.6315,NA,17.898,0.02,After nadir,136.298214805414,215.283,16.49,1037,No GV contact,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
