"file","roi","duration","pres_min.kPa.","pres_min.time.","pres_max.kPa.","pres_max.time.","pres_median.kPa.","pres_iqr.kPa.","pres_max_1s_nadir.kPa.","pres_max_1s_nadir.time.","pres_rpc","pres_acclim_pres_surface","pres_acclim_pres_depth","pres_lrpc_surface","pres_lrpc_depth","nadir_baro","rpc_baro","lrpc_baro_surface","lrpc_baro_depth","rot_min.degs.","rot_min.time.","rot_max.degs.","rot_max.time.","rot_median.degs.","rot_iqr.degs.","acc_hig_min.g.","acc_hig_min.time.","acc_hig_max.g.","acc_hig_max.time.","acc_hig_median.g.","acc_hig_iqr.g.","acc_event_95g","acc_event_200g","acc_event_400g","acc_strike","acc_shear","acc_collision","acc_inacc_min.ms.","acc_inacc_min.time.","acc_inacc_max.ms.","acc_inacc_max.time.","acc_inacc_median.ms.","acc_inacc_iqr.ms.","acc_peak_1.time.","acc_peak_1.g.","acc_peak_1_type","acc_peak_2.time.","acc_peak_2.g.","acc_peak_2_type","acc_peak_3.time.","acc_peak_3.g.","acc_peak_3_type","acc_peak_4.time.","acc_peak_4.g.","acc_peak_4_type","acc_peak_5.time.","acc_peak_5.g.","acc_peak_5_type","acc_peak_6.time.","acc_peak_6.g.","acc_peak_6_type","acc_strike_event.time.","acc_strike_event.g."
"B61-0703140718","overall",NA,83.21,21.08,151.52,12.08,103.1,24.02,98.95,20.21,15.74,101.3,120.9,0.1967,0.3736,"N","N","N","N",2.46,12.31,3307.83,21.37,288.26,312.64,0,10.58,410,21.43,0,1.6,4,4,1,"N",0,1,-9.61,14.42,213.28,21.37,0.08,1.15,21.3635,266.4,"collision",21.428,410,"collision",21.4595,330.6,"collision",21.794,217.7,"collision",NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi1_sens_ingress",NA,101.76,10.75,102.55,10.7,102.19,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.17,10.74,133.24,10.58,89.58,50.44,0,10.58,0,10.58,0,0,0,0,0,NA,0,0,-0.56,10.63,1.58,10.75,-0.12,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi2_inflow_passage",NA,86.05,13.62,151.52,12.08,96.32,9.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,12.31,763.95,20.17,150.82,241.45,0,10.78,87.5,14.28,0,1.6,0,0,0,NA,0,0,-9.61,14.42,52.56,14.66,-0.1,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi3_prenadir",NA,93.09,20.93,98.64,20.65,96.8,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.15,20.58,662.1,20.74,526.23,203.51,0,20.58,0,20.58,0,0,0,0,0,NA,0,0,-0.51,20.95,4.24,20.9,1.78,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi4_nadir",NA,83.21,21.08,134.91,21.18,95.41,20.96,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,321.01,21.07,673.19,21.09,426.33,83.18,0,20.98,14.6,21.11,5.6,4.65,0,0,0,"N",0,0,-6.78,21.01,111.44,21.14,42.39,51.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi5_postnadir",NA,128.21,21.36,143.42,21.38,135.03,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.05,21.18,3307.83,21.37,1904.83,1245.93,0.5,21.21,410,21.43,10,10.6,3,3,1,NA,0,1,-4.51,21.24,213.28,21.37,72.77,87.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi6_outflow_passage",NA,101.22,31.33,150.04,21.81,106.76,31.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.67,28.33,2636.02,21.61,388.2,331.47,0,25.35,217.7,21.79,0,1.4,1,1,0,NA,0,0,-4.44,22.12,102.43,21.59,0.19,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi7_sens_outgress",NA,101.19,31.58,101.24,31.42,101.22,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.57,31.48,339.2,31.58,244.68,57.61,0,31.38,0,31.38,0,0,0,0,0,NA,0,0,-0.04,31.38,0.69,31.52,0.49,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","overall",NA,88.41,19.84,143.82,31.69,96.99,16.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62,20.14,3059.15,30.79,258.76,299.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi1_sens_ingress",NA,88.41,19.84,90.33,19.92,89.37,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5,20,86.08,19.81,77.86,19.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi2_inflow_passage",NA,88.74,20.34,97.63,26.22,94.16,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62,20.14,762.92,26.09,110.67,198.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi3_prenadir",NA,92.46,30.15,96.1,29.89,94.61,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.55,29.81,745.79,30.12,470.38,387.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi4_nadir",NA,88.8,30.31,129.05,30.41,94.12,26.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.96,30.32,1541.13,30.38,475.55,652.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi5_postnadir",NA,126.16,30.51,135.73,30.81,131.52,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010.98,30.43,3059.15,30.79,2231.97,420.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi6_outflow_passage",NA,107.27,35.68,143.82,31.69,110.45,23.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.52,38.08,2836.83,30.81,371.04,214.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi7_sens_outgress",NA,109.77,40.63,110.24,40.81,109.9,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.16,40.61,367.67,40.81,339.81,13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0704112605","overall",NA,86.85,31.55,147.16,32.76,100.14,48.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.25,30.3,2070.66,31.62,484.61,450.64,0,29.85,589.6,31.59,0,2.6,NA,NA,NA,"N",NA,NA,-5.9,31.5,85.52,31.61,1.48,9.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0704112605","roi1_sens_ingress",NA,98.5,29.98,100.22,29.85,99.51,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.99,29.96,320.35,29.85,210.27,52.81,0,29.85,0,29.85,0,0,NA,NA,NA,"N",NA,NA,0.69,30.05,1.26,29.85,0.93,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0704112605","roi2_inflow_passage",NA,93.93,31.1,100.5,30.06,96.26,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.25,30.3,495.49,30.79,325.07,259.81,0,30.05,0,30.05,0,0,NA,NA,NA,"N",NA,NA,-1.23,31.1,2.05,30.65,0.32,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0704112605","roi3_prenadir",NA,87.78,31.43,94.92,31.17,93.24,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.19,31.28,524,31.43,347.57,169.8,0,31.15,70.1,31.25,1.7,1.83,NA,NA,NA,"N",NA,NA,-1.73,31.29,50.24,31.42,0.56,5.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0704112605","roi4_nadir",NA,86.85,31.55,139.82,31.65,91.21,32.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.34,31.6,2070.66,31.62,538,346.24,0.6,31.48,589.6,31.59,3.8,4.22,NA,NA,NA,"N",NA,NA,-5.9,31.5,85.52,31.61,21.49,29.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0704112605","roi5_postnadir",NA,136.41,31.71,145.33,31.86,141.37,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.85,31.91,1604.31,31.66,1245.5,355.88,0.3,31.69,10.6,31.66,5.5,2.7,NA,NA,NA,"N",NA,NA,-2.81,31.71,75.15,31.82,42.21,25.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0704112605","roi6_outflow_passage",NA,141.34,32.13,147.16,32.76,145.56,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.63,32.31,1425.45,31.99,724.51,241.04,0,32.8,7.8,31.95,2,2.1,NA,NA,NA,"N",NA,NA,-4.98,32.47,53.38,31.96,5.03,10.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0704112605","roi7_sens_outgress",NA,142.49,33.25,145.95,33.1,144.57,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.82,33.06,733.3,33.22,489.92,247.82,0,33.05,0,33.05,0,0,NA,NA,NA,"N",NA,NA,2.52,33.25,6.82,33.2,3.8,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0703183930","overall",NA,94.99,29.29,142.36,30.18,106.01,28.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23.79,213.9,30.25,0,1,NA,NA,NA,"N",NA,NA,-7.62,29.25,168.94,30.03,0.36,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0703183930","roi1_sens_ingress",NA,100.32,23.98,102.13,23.88,101.4,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23.79,0,23.79,0,0,NA,NA,NA,"N",NA,NA,-0.44,23.9,0.27,23.95,0.04,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0703183930","roi2_inflow_passage",NA,98.49,25.3,106.74,28.02,102.06,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23.99,0,23.99,0,0,NA,NA,NA,"N",NA,NA,-4,25.31,3.62,25.9,0.3,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0703183930","roi3_prenadir",NA,98.03,29.16,103.23,28.81,101.68,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,28.79,0,28.79,0,0,NA,NA,NA,"N",NA,NA,-1.87,29.19,2.53,29.07,1.04,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0703183930","roi4_nadir",NA,94.99,29.29,133.3,29.39,98.4,13.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29.19,15,29.33,3.75,8.12,NA,NA,NA,"N",NA,NA,-7.62,29.25,125.82,29.35,21.68,60.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0703183930","roi5_postnadir",NA,125.9,29.64,139.87,29.6,133.51,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,29.69,195.9,29.44,6.5,9.3,NA,NA,NA,"N",NA,NA,-4.27,29.52,150.49,29.6,55.62,85.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0703183930","roi6_outflow_passage",NA,105.69,34.57,142.36,30.18,130.61,22.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32.34,213.9,30.25,0.7,2,NA,NA,NA,"N",NA,NA,-4.53,30.6,168.94,30.03,0.39,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0703183930","roi7_sens_outgress",NA,104.86,34.73,106.66,34.59,105.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34.59,0,34.59,0,0,NA,NA,NA,"N",NA,NA,-1.43,34.68,-0.74,34.78,-1.13,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0704135530","overall",NA,79.58,20.31,148.34,20.73,102.42,23.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.71,25.69,2319.72,20.62,269.26,357.52,0,15.27,465.5,20.55,0,1,NA,NA,NA,"N",NA,NA,-8.9,20.85,152.45,20.32,-0.04,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0704135530","roi1_sens_ingress",NA,91.98,14.81,94.15,14.96,93.09,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.67,14.81,296.52,14.91,261.45,36.5,0.2,14.93,3.8,14.81,1.7,1,NA,NA,NA,"N",NA,NA,-2.98,14.99,-0.37,14.84,-1.96,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0704135530","roi2_inflow_passage",NA,92.91,15.01,102.72,19.55,98.28,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,18.74,879.28,16.12,336.42,360.3,0,15.27,135.2,15.83,0,0.9,NA,NA,NA,"N",NA,NA,-3.27,15.05,9.67,15.85,0.15,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0704135530","roi3_prenadir",NA,93.45,20.2,102.2,19.86,99.66,5.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.23,19.84,328.52,20.05,266.41,114.87,0,19.81,0,19.81,0,0,NA,NA,NA,"N",NA,NA,-0.92,20.21,5.9,20.08,2.47,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0704135530","roi4_nadir",NA,79.58,20.31,141.65,20.41,95.15,28.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.71,20.32,1198.8,20.38,298.04,582.1,0,20.21,27.7,20.29,3.8,5.72,NA,NA,NA,"N",NA,NA,-2.01,20.22,152.45,20.32,14.95,56.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0704135530","roi5_postnadir",NA,138.72,20.66,148.34,20.73,143.55,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.52,20.58,2319.72,20.62,1259.23,770.49,0.4,20.81,465.5,20.55,4.3,4.12,NA,NA,NA,"N",NA,NA,2.64,20.45,122.36,20.58,26.19,34.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0704135530","roi6_outflow_passage",NA,106.86,24.82,146.47,20.84,120.6,28.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.36,23.45,1386.44,20.88,234.77,221.93,0,21.84,30.9,20.84,0,0,NA,NA,NA,"N",NA,NA,-8.9,20.85,40.28,21.33,-0.26,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0704135530","roi7_sens_outgress",NA,108.15,25.78,108.59,25.65,108.32,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.71,25.69,184.61,25.81,88.07,83.04,0,25.61,0,25.61,0,0,NA,NA,NA,"N",NA,NA,-0.02,25.64,0.12,25.77,0.07,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B62-0320124850","overall",NA,99.94,159.43,145.2,269.49,110.74,14.28,127.63,268.5,18.63,101.3,120.9,-0.0733,0.1036,"N","N","N","N",0.12,210.47,2346.5,270.5,64.33,141.7,0.1,160.27,515,269.35,1.7,1,7,3,3,"Y",0,3,-9.72,161.25,188.61,269.35,-0.01,0.1,161.7475,97.8,"collision",269.3225,103.9,"collision",269.3485,406.6,"collision",269.352,515,"collision",269.355,193.3,"collision",269.361,98.4,"collision",269.3485,406.6
