file,roi,duration,pres_min.kPa.,pres_min.time.,pres_max.kPa.,pres_max.time.,pres_median.kPa.,pres_iqr.kPa.,pres_max_1s_nadir.kPa.,pres_max_1s_nadir.time.,pres_rpc,pres_acclim_pres_surface,pres_acclim_pres_depth,pres_lrpc_surface,pres_lrpc_depth,nadir_baro,rpc_baro,lrpc_baro_surface,lrpc_baro_depth,rot_min.degs.,rot_min.time.,rot_max.degs.,rot_max.time.,rot_median.degs.,rot_iqr.degs.,acc_hig_min.g.,acc_hig_min.time.,acc_hig_max.g.,acc_hig_max.time.,acc_hig_median.g.,acc_hig_iqr.g.,acc_event_95g,acc_event_200g,acc_event_400g,acc_strike,acc_shear,acc_collision,acc_inacc_min.ms.,acc_inacc_min.time.,acc_inacc_max.ms.,acc_inacc_max.time.,acc_inacc_median.ms.,acc_inacc_iqr.ms.,acc_peak_1.time.,acc_peak_1.g.,acc_peak_1_type,acc_peak_2.time.,acc_peak_2.g.,acc_peak_2_type,acc_peak_3.time.,acc_peak_3.g.,acc_peak_3_type,acc_peak_4.time.,acc_peak_4.g.,acc_peak_4_type,acc_peak_5.time.,acc_peak_5.g.,acc_peak_5_type,acc_peak_6.time.,acc_peak_6.g.,acc_peak_6_type,acc_strike_event.time.,acc_strike_event.g.,acc_peak_7.time.,acc_peak_7.g.,acc_peak_7_type,acc_peak_8.time.,acc_peak_8.g.,acc_peak_8_type,acc_peak_9.time.,acc_peak_9.g.,acc_peak_9_type,acc_peak_10.time.,acc_peak_10.g.,acc_peak_10_type,acc_peak_11.time.,acc_peak_11.g.,acc_peak_11_type,acc_peak_12.time.,acc_peak_12.g.,acc_peak_12_type,acc_peak_13.time.,acc_peak_13.g.,acc_peak_13_type,acc_peak_14.time.,acc_peak_14.g.,acc_peak_14_type,acc_peak_15.time.,acc_peak_15.g.,acc_peak_15_type,acc_peak_16.time.,acc_peak_16.g.,acc_peak_16_type,acc_peak_17.time.,acc_peak_17.g.,acc_peak_17_type,acc_peak_18.time.,acc_peak_18.g.,acc_peak_18_type,acc_peak_19.time.,acc_peak_19.g.,acc_peak_19_type,acc_peak_20.time.,acc_peak_20.g.,acc_peak_20_type,acc_peak_21.time.,acc_peak_21.g.,acc_peak_21_type,acc_peak_22.time.,acc_peak_22.g.,acc_peak_22_type,acc_peak_23.time.,acc_peak_23.g.,acc_peak_23_type,acc_peak_24.time.,acc_peak_24.g.,acc_peak_24_type,acc_peak_25.time.,acc_peak_25.g.,acc_peak_25_type,acc_peak_26.time.,acc_peak_26.g.,acc_peak_26_type,acc_peak_27.time.,acc_peak_27.g.,acc_peak_27_type,acc_peak_28.time.,acc_peak_28.g.,acc_peak_28_type,acc_peak_29.time.,acc_peak_29.g.,acc_peak_29_type,acc_peak_30.time.,acc_peak_30.g.,acc_peak_30_type,acc_peak_31.time.,acc_peak_31.g.,acc_peak_31_type,acc_peak_32.time.,acc_peak_32.g.,acc_peak_32_type,acc_peak_33.time.,acc_peak_33.g.,acc_peak_33_type,acc_peak_34.time.,acc_peak_34.g.,acc_peak_34_type,acc_peak_35.time.,acc_peak_35.g.,acc_peak_35_type,acc_peak_36.time.,acc_peak_36.g.,acc_peak_36_type,acc_peak_37.time.,acc_peak_37.g.,acc_peak_37_type,acc_peak_38.time.,acc_peak_38.g.,acc_peak_38_type,acc_peak_39.time.,acc_peak_39.g.,acc_peak_39_type,acc_peak_40.time.,acc_peak_40.g.,acc_peak_40_type,acc_peak_41.time.,acc_peak_41.g.,acc_peak_41_type,acc_peak_42.time.,acc_peak_42.g.,acc_peak_42_type,acc_peak_43.time.,acc_peak_43.g.,acc_peak_43_type,acc_peak_44.time.,acc_peak_44.g.,acc_peak_44_type,acc_peak_45.time.,acc_peak_45.g.,acc_peak_45_type,acc_peak_46.time.,acc_peak_46.g.,acc_peak_46_type
B117-0320152841,roi4_nadir,NA,81.34,225.12,124.62,225.21,98.85,21.35,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,192.01,225.11,2674.67,225.14,452.25,888.82,1,225.02,402.2,225.13,9.55,21.45,4,1,1,Y,0,1,12.59,225.1,212.3,225.13,45.03,94.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B117-0320152841,roi1_sens_ingress,NA,96.66,147.68,129.64,147.54,101.59,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,146.55,393.97,143.04,133.78,104.81,0,145.76,143.9,147.52,1.7,1,1,0,0,NA,0,0,-9.51,146.96,147.13,147.55,0.62,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B117-0320152841,roi2_inflow_passage,NA,82.83,181.75,104.46,152.76,90.83,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,212.04,587.8,149.58,31.05,39.65,0,149.63,78.1,181.75,1.5,0.9,0,0,0,NA,0,0,-3.08,169.74,5.98,181.77,-0.16,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B117-0320152841,roi3_prenadir,NA,98.93,225.02,101.34,224.78,101.04,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.29,224.72,250.85,224.99,200.78,86.67,0.2,224.73,4.4,225,1.9,1,0,0,0,NA,0,0,0.86,224.73,14.42,225.02,2.81,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
