time_s,higacc_x_g,higacc_y_g,higacc_z_g,higacc_mag_g,inacc_x_ms,inacc_y_ms,inacc_z_ms,rot_x_degs,rot_y_degs,rot_z_degs,mag_x_mt,mag_y_mt,mag_z_mt,pressure_kpa,temp_c,battery_v,inacc_mag_ms,rot_mag_degs
0,0,-0.7,0.1,0.7,0.505,-1.02,9.835,0.1,0.1,-0.1,-506.7,-90.9,-16.5,100,24.78,4.17,0.090638868,0.173205081
0.0005,0,-0.9,-0.1,0.9,0.505,-1.02,9.835,0.1,0.1,-0.1,-506.7,-90.9,-16.5,100,24.78,4.17,0.090638868,0.173205081
0.001,-1.1,-1.3,0.9,1.9,0.505,-1.02,9.835,0.1,0.1,-0.1,-506.7,-90.9,-16.5,100,24.78,4.17,0.090638868,0.173205081
0.0015,-3.7,-2.1,3.6,5.6,0.505,-1.02,9.835,0.1,0.1,-0.1,-506.7,-90.9,-16.5,100,24.78,4.17,0.090638868,0.173205081
0.002,-1.3,0.4,0.1,1.4,0.505,-1.02,9.835,0.1,0.1,-0.1,-506.7,-90.9,-16.5,100,24.78,4.17,0.090638868,0.173205081
