time_s,pressure_kpa,higacc_mag_g,inacc_mag_ms,rot_mag_degs,roi,time_norm
2.45,99.99,0,-0.613378338,31.67791028,roi1_sens_ingress,0
2.4505,99.9905,0,-0.622866541,31.79106675,roi1_sens_ingress,2.62E-05
2.451,99.991,0,-0.632346991,31.91171728,roi1_sens_ingress,5.24E-05
2.4515,99.9915,0,-0.641819663,32.03977723,roi1_sens_ingress,7.85E-05
2.452,99.992,0,-0.651284533,32.17515812,roi1_sens_ingress,0.000104712
2.4525,99.9925,0,-0.660741577,32.31776795,roi1_sens_ingress,0.00013089
