file,class,sensor,date_deploy,time_deploy,duration[mm:ss],t_max_p_1s_nadir,t_nadir,nadir,max_p_1s_nadir,rate_pc,ratio_pc,log_RPC,treatment,inj_pos,sens_wc_pos_ent,sens_wc_pos_blade,sens_wc_pos_exit,clear_passage,rotate_hub,pres_force,passage_loc,centre_hub_contact,blade_contact,n_contact,c_1_bl,c_1_sl,c_1_bv,c_1_type,c_2_bl,c_2_sl,c_2_bv,c_2_type,t_start_roi1,t_end_roi1,t_start_roi2,t_end_roi2,t_start_roi3,t_end_roi3,t_start_roi4,t_end_roi4,t_start_roi5,t_end_roi5,t_start_roi6,t_end_roi6,max_accmag_roi1,max_accmag_roi2,max_accmag_roi3,max_accmag_roi4,max_accmag_roi5,max_accmag_roi6,max_accmag_time_roi1,max_accmag_time_roi2,max_accmag_time_roi3,max_accmag_time_roi4,max_accmag_time_roi5,max_accmag_time_roi6,nadir_acceleration,max_hig_roi1,max_hig_roi2,max_hig_roi3,max_hig_roi4,max_hig_roi5,max_hig_roi6,max_hig_time_roi1,max_hig_time_roi2,max_hig_time_roi3,max_hig_time_roi4,max_hig_time_roi5,max_hig_time_roi6,max_nadir_acc_dist,max_nadir_acc_position,acc_rms,accmag_1,accmag_1_t,accmag_1_p,guide_vane_contact,accmag_2,accmag_2_t,accmag_2_p,accmag_3,accmag_3_t,accmag_3_p,accmag_4,accmag_4_t,accmag_4_p,inj_to_pre_nadir_accmag_count,pre_nadir_event_accmag_count,nadir_event_accmag_count,post_nadir_event_accmag_count,post_nadir_to_rec_accmag_count,accmag_5,accmag_5_t,accmag_5_p,accmag_6,accmag_6_t,accmag_6_p,accmag_7,accmag_7_t,accmag_7_p,accmag_8,accmag_8_t,accmag_8_p
B61-0717133143_imp,100_imp,B61,17-Jul,13:31:43,00:59:00,21.62,21.63,990.7,1128.3,137.6,1.009387302,0.009343515,400 (70%),High,7,7,6,Contact,NA,NA,NA,No CH contact,Blade contact,1,Absolute tip,1,14,Direct,NA,NA,NA,NA,20.19,23.07,21.53,21.73,21.23,21.53,21.73,22.03,20.19,21.23,22.03,23.07,116.533,101.754,5.202,81.897,1.824,116.533,22.31,21.62,21.53,21.89,20.88,22.31,97.367,542.4,542.4,NA,10.8,NA,89.7,21.6065,21.6065,NA,21.8545,NA,22.2535,-0.01,Before nadir,58.50570682,101.754,21.62,1128.3,No GV contact,116.533,22.31,1329.3,104.999,22.6,1353.8,NA,NA,NA,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B67-0806132225_imp,100_imp,B67,06-Aug,13:22:25,00:59:00,20.95,21.03,895.3,1221.9,326.6,1.116944041,0.110596421,400 (70%),High,7,7,1,Contact,NA,NA,NA,No CH contact,Blade contact,3,Absolute tip,4,14,Direct,Center,3,11,Direct,19.59,22.47,20.93,21.13,20.63,20.93,21.13,21.43,19.59,20.63,21.43,22.47,207.817,207.817,167.226,78.011,8.02,54.251,21.04,21.04,20.87,21.29,20.26,21.95,126.256,460.8,423,460.8,46.9,14,74.1,20.839,21.003,20.839,21.222,20.244,21.5215,0.01,After nadir,107.7362017,167.226,20.87,979.6,No GV contact,207.817,21.04,1012.3,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806142519_imp,100_imp,B75,06-Aug,14:25:19,00:59:00,22.51,22.52,914.2,1197.5,283.3,1.093852549,0.089705913,400 (70%),Low,6,2,6,Contact,NA,NA,NA,No CH contact,Blade contact,1,Absolute tip,6,14,Direct,NA,NA,NA,NA,21.08,23.96,22.42,22.62,22.12,22.42,22.62,22.92,21.08,22.12,22.92,23.96,169.261,157.725,14.178,169.261,1.625,136.604,22.91,22.53,22.27,22.91,22.12,22.93,133.158,586.3,586.3,31.6,421.1,5.2,417.3,22.488,22.488,22.36,22.9035,21.1625,23.0715,0.01,After nadir,66.52170513,157.725,22.53,972.6,GV contact,169.261,22.91,1423.5,NA,NA,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B75-0806162232_imp,100_imp,B75,06-Aug,16:22:32,01:00:00,17.58,17.7,756.7,1265,508.3,1.321527686,0.278788405,400 (70%),High,7,7,1,Contact,NA,NA,NA,CH contact,Blade contact,2,Absolute tip,4,14,Direct,Center hub,6,NA,Direct,16.26,19.14,17.6,17.8,17.3,17.6,17.8,18.1,16.26,17.3,18.1,19.14,244.838,244.838,175.987,181.951,1.151,66.267,17.71,17.71,17.6,17.91,17.17,18.48,233.965,527.9,419.7,516.3,227.7,NA,527.9,18.455,17.6425,17.57,18.0265,NA,18.455,0.01,After nadir,128.265543,244.838,17.71,964.3,No GV contact,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B76-0806164443_imp,100_imp,B76,06-Aug,16:44:43,00:59:00,24.59,24.6,702.3,1165.5,463.2,1.423892923,0.353394616,400 (70%),Low,1,1,7,Contact,NA,NA,NA,No CH contact,Blade contact,1,Absolute tip,6,14,Direct,NA,NA,NA,NA,23.16,26.04,24.5,24.7,24.2,24.5,24.7,25,23.16,24.2,25,26.04,191.433,191.433,6.051,166.801,0.312,99.029,24.61,24.61,24.32,24.7,23.47,25.13,121.729,563.2,563.2,NA,440.8,NA,27.5,24.5825,24.5825,NA,24.7875,NA,25.23,0.01,After nadir,90.85272347,191.433,24.61,892.9,GV contact,116.301,24.83,1421.6,99.029,25.13,1346.1,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
